都道府県,県庁所在地,北海道,青森県,岩手県,秋田県,宮城県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,山梨県,長野県,新潟県,富山県,石川県,福井県,静岡県,愛知県,岐阜県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,香川県,愛媛県,徳島県,高知県,福岡県,佐賀県,長崎県,大分県,熊本県,宮崎県,鹿児島県,沖縄県
北海道,札幌市,0,440,580,630,750,805,825,1005,990,1090,1095,1115,1110,1135,1210,1090,905,1150,1205,1285,1285,1405,1355,1520,1450,1460,1500,1530,1495,1570,1585,1735,1640,1795,1930,1690,1820,1645,1790,2085,2135,2225,2135,2185,2365,2355,3145
青森県,青森市,440,0,180,190,350,410,430,610,595,690,700,720,715,740,810,650,470,710,765,845,890,935,920,1020,1010,1025,1060,1090,1055,1130,1145,1300,1200,1355,1495,1245,1385,1210,1350,1645,1700,1790,1695,1750,1930,1920,2710
岩手県,盛岡市,580,180,0,115,190,240,260,435,425,520,530,545,535,565,640,645,440,685,735,815,720,835,855,920,985,995,1035,1065,1000,1105,1115,1270,1170,1325,1465,1225,1355,1180,1320,1620,1670,1760,1665,1720,1900,1890,2680
秋田県,秋田市,630,190,115,0,260,215,325,505,490,485,595,615,610,635,630,460,275,520,575,650,790,740,725,825,820,830,870,895,865,940,955,1105,1010,1165,1300,1050,1185,1005,1150,1455,1505,1595,1505,1555,1735,1725,2515
宮城県,仙台市,750,350,190,260,0,62,82,260,250,345,350,370,360,390,465,475,265,510,560,640,545,660,680,745,775,785,825,855,820,930,945,1095,1000,1155,1290,1050,1180,1005,1150,1445,1495,1585,1495,1545,1725,1715,2505
山形県,山形市,805,410,240,215,62,0,95,305,260,360,365,405,380,420,475,345,165,405,460,540,555,630,615,715,705,720,755,785,750,825,840,995,895,1050,1190,945,1070,900,1035,1340,1395,1485,1390,1445,1625,1615,2405
福島県,福島市,825,430,260,325,82,95,0,215,170,265,270,315,290,330,385,395,185,430,485,565,465,580,600,665,695,705,745,775,740,815,865,1015,920,1075,1210,970,1100,925,1070,1365,1415,1505,1415,1465,1645,1640,2425
茨城県,水戸市,1005,610,435,505,260,305,215,0,76,165,115,140,125,150,245,290,315,440,540,575,295,465,500,525,560,570,610,640,575,680,785,880,775,930,1055,800,930,755,900,1210,1260,1350,1260,1310,1490,1480,2270
栃木県,宇都宮市,990,595,425,490,250,260,170,76,0,110,115,155,130,170,225,235,275,430,485,560,305,425,445,505,540,550,590,615,580,655,760,855,750,905,1050,775,910,730,875,1185,1240,1325,1235,1285,1465,1460,2285
群馬県,前橋市,1090,690,520,485,345,360,265,165,110,0,110,165,110,140,190,155,215,345,400,480,270,340,360,425,455,465,505,535,500,575,680,775,670,825,970,695,825,650,795,1105,1155,1245,1150,1205,1385,1375,2165
埼玉県,さいたま市,1095,700,530,595,350,365,270,115,115,110,0,62,27,64,150,220,310,420,465,540,205,375,410,435,470,480,520,545,485,590,690,790,680,840,965,710,840,665,805,1120,1170,1260,1165,1220,1400,1390,2180
